Judgment	#Clicks	#Examinations
1	0	0
1	0	0
2	0	0
2	24	34
1	0	0
0	0	0
2	0	0
0	0	0
2	0	0
0	0	0
2	0	2
1	39	75
1	39	75
0	0	0
2	0	0
0	2	4
0	0	0
1	0	0
1	8	17
0	0	0
0	0	0
1	8	17
1	0	1
0	0	0
0	0	0
1	0	1
1	0	0
1	0	0
1	0	0
1	0	0
1	0	1
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	6	8
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	12	20
1	0	0
1	4	37
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	1	3
0	0	0
1	17	53
0	0	0
1	0	0
1	1	1
1	0	0
1	0	0
1	0	0
1	0	0
1	0	3
1	4	7
0	0	0
1	0	0
1	0	0
1	15	27
1	0	0
0	0	1
1	0	0
1	0	0
1	1	2
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	1
1	0	1
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	1
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	19	65
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	2	3
1	1	9
0	0	0
0	0	0
1	0	0
2	10	20
0	0	0
2	9	36
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	1	1
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	1
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	0
0	2	3
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
2	0	1
1	0	0
2	0	0
2	54	58
2	1	2
2	0	2
2	0	2
0	0	0
0	0	0
0	0	0
1	0	0
2	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
2	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
2	0	0
1	0	0
0	0	0
1	0	0
1	0	0
2	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
2	0	0
0	0	0
0	0	0
2	0	0
1	0	0
0	0	0
0	0	1
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	1
1	0	0
0	0	0
1	0	0
1	1	1
1	0	0
0	0	0
1	1	5
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	37	39
1	0	0
0	0	0
0	0	0
2	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
2	0	0
1	0	0
0	0	0
0	0	0
1	1	1
2	0	0
0	0	0
0	0	0
0	0	0
2	3	3
0	0	0
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
2	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
2	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	0	0
2	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	13	13
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
2	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
2	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
2	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	35	42
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	4	5
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	1	5
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	0	0
1	0	0
2	0	7
1	0	9
0	0	0
0	0	0
1	0	7
0	0	0
0	0	0
1	0	0
2	0	0
0	0	0
0	0	0
2	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	0	3
0	0	0
0	0	0
2	0	0
0	0	0
0	0	0
0	0	0
1	1	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	2	14
0	0	0
1	3	13
0	0	0
1	0	0
1	0	0
1	0	0
2	0	0
1	0	0
2	349	376
1	0	0
1	0	0
0	0	0
0	8	1138
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	4	26
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	18	19
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	4	4
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
2	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	1
0	0	0
1	0	0
0	0	0
1	0	0
0	1	6
0	0	0
0	0	0
0	0	0
1	15	52
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	18
0	1	1
0	57	71
0	303	663
0	0	0
0	0	0
2	0	0
1	0	0
1	0	1
1	0	6
0	1025	1936
0	310	546
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	319	352
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	9	24
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	1	4
0	0	0
1	0	0
0	0	0
0	0	0
1	6	7
1	5	6
0	0	0
1	23	33
0	0	1
1	0	0
2	12	28
2	0	0
0	0	0
1	1	10
1	0	2
1	0	0
0	0	0
0	0	0
2	0	0
0	0	0
0	0	0
2	438	505
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	1
0	0	0
1	0	2
1	0	1
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	2	38
1	0	0
1	0	0
1	0	0
1	3	31
1	4	50
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	1	14
1	0	0
1	14	24
1	0	0
1	0	0
1	0	0
1	0	0
1	24	59
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	3	27
1	0	0
1	3	5
1	0	0
1	0	0
1	3	46
1	0	0
1	14	15
1	0	0
1	2	4
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	1	3
0	0	0
1	0	0
0	0	0
1	1	4
1	0	0
1	0	0
1	3	9
0	0	0
1	2	5
1	0	0
0	0	1
0	0	0
0	0	0
1	0	0
1	1	4
1	0	0
1	4	9
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
2	0	0
2	3	3
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
2	8	9
2	0	1
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	8	9
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
2	1	1
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
2	62	68
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	21	58
1	5	6
2	43	85
1	2	4
2	0	0
1	0	0
1	0	0
1	0	0
1	22	43
0	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	21	97
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
1	0	0
1	0	0
1	0	0
0	0	0
1	0	0
2	0	2
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
1	0	0
2	1	3
1	0	0
2	0	0
1	0	0
1	0	0
1	0	3
0	0	0
1	0	0
1	0	0
0	0	0
1	1	5
0	0	0
1	0	0
1	0	0
1	0	0
2	0	0
1	0	0
1	0	0
1	4	37
1	0	0
0	0	0
1	0	0
1	0	0
2	0	0
1	2	4
1	0	0
1	0	0
1	0	0
1	5	52
1	0	0
1	0	0
1	0	0
1	25	48
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	135	200
1	0	0
1	0	0
1	0	0
1	0	0
1	11	17
